Newton's Method >>>>>>>>>>>>>
j; 104; i; -100.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 104; i; -99.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 104; i; -98.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 104; i; -97.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -96.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -95.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -94.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -93.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -92.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -91.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -90.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -89.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -88.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -87.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -86.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 103; i; -85.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -84.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -83.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -82.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -81.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -80.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -79.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -78.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -77.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -76.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -75.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 102; i; -74.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -73.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -72.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -71.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -70.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -69.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -68.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -67.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -66.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 101; i; -65.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -64.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -63.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -62.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -61.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -60.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -59.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -58.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 100; i; -57.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -56.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -55.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -54.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -53.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -52.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -51.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 99; i; -50.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 98; i; -49.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 98; i; -48.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 98; i; -47.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 98; i; -46.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 98; i; -45.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 98; i; -44.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 97; i; -43.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 97; i; -42.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 97; i; -41.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 97; i; -40.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 97; i; -39.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 96; i; -38.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 96; i; -37.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 96; i; -36.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 96; i; -35.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 96; i; -34.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 95; i; -33.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 95; i; -32.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 95; i; -31.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 95; i; -30.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 94; i; -29.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 94; i; -28.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 94; i; -27.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 93; i; -26.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 93; i; -25.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 93; i; -24.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 92; i; -23.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 92; i; -22.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 92; i; -21.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 91; i; -20.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 91; i; -19.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 90; i; -18.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 90; i; -17.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 89; i; -16.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 88; i; -15.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 88; i; -14.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 87; i; -13.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 86; i; -12.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 84; i; -11.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 82; i; -10.0; temp; -9.012931712479304; OK2 (with error: 7.709388682997087E-13)
j; 1000; i; -8.9; temp; -8.9; !!!FAIL
j; 1000; i; -8.8; temp; -8.8; !!!FAIL
j; 1000; i; -8.700000000000001; temp; -8.700000000000001; !!!FAIL
j; 1000; i; -8.600000000000001; temp; -8.600000000000001; !!!FAIL
j; 1000; i; -8.500000000000002; temp; -8.500000000000002; !!!FAIL
j; 1000; i; -8.400000000000002; temp; -8.400000000000002; !!!FAIL
j; 1000; i; -8.300000000000002; temp; -8.300000000000002; !!!FAIL
j; 1000; i; -8.200000000000003; temp; -8.200000000000003; !!!FAIL
